Product Type,Product Sub-Category,Type,Period,Forecast_Qty,Model
Canned Foods,Assorted Fruits,future_forecast,2014-01-01,24.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-02-01,20.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-03-01,22.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-04-01,16.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-05-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-06-01,31.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-07-01,136.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-08-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-09-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-10-01,62.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-11-01,297.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,future_forecast,2014-12-01,103.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-01-01,113.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-02-01,100.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-03-01,116.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-04-01,137.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-05-01,198.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-06-01,118.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-07-01,126.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-08-01,155.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-09-01,177.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-10-01,144.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-11-01,178.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Quail Eggs,future_forecast,2014-12-01,222.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-01-01,49.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-02-01,74.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-03-01,67.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-04-01,48.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-05-01,45.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-06-01,43.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-07-01,86.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-08-01,74.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-09-01,79.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-10-01,46.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-11-01,107.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Sliced Pineapple,future_forecast,2014-12-01,58.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-01-01,17.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-02-01,2.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-03-01,8.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-04-01,5.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-05-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-06-01,2.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-07-01,-3.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-08-01,2.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-09-01,1.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-10-01,39.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-11-01,20.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Wild Berry,future_forecast,2014-12-01,5.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-01-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-02-01,48.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-03-01,37.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-04-01,57.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-05-01,28.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-06-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-07-01,36.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-08-01,37.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-09-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-10-01,72.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-11-01,90.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-12-01,192.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-01-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-02-01,76.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-03-01,65.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-04-01,148.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-05-01,128.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-06-01,109.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-07-01,125.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-08-01,132.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-09-01,125.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-10-01,92.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-11-01,195.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-12-01,81.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-01-01,38.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-02-01,12.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-03-01,12.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-04-01,46.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-05-01,-1.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-06-01,11.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-07-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-08-01,21.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-09-01,34.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-10-01,9.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-11-01,134.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-12-01,23.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-01-01,26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-02-01,-19.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-03-01,13.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-04-01,7.0,"SARIMAX(1,1,1)x(1,1,1,12)"
