Product Type,Product Sub-Category,n_months,Model,RMSE,MAE,MAPE
Canned Foods,Assorted Fruits,48,"SARIMAX(1,1,1)x(1,1,1,12)",57.648133326007894,50.14532893798513,164.0194504958478
Canned Foods,Quail Eggs,48,"SARIMAX(1,1,1)x(1,1,1,12)",93.75721312414318,71.1272737210491,48.87131618097008
Canned Foods,Sliced Pineapple,48,"SARIMAX(1,1,1)x(1,1,1,12)",46.53404874768683,39.674945951643416,132.2023304224907
Canned Foods,Wild Berry,40,"SARIMAX(1,1,1)x(1,1,1,12)",20.246634955179154,13.168605276447414,194.08898007389755
Preserved Food,Jams,48,"SARIMAX(1,1,1)x(1,1,1,12)",51.638604501291276,45.77156007027868,231.89267143936374
Preserved Food,Marmalade,48,"SARIMAX(1,1,1)x(1,1,1,12)",82.89662166118423,64.87470495548375,104.26216484845612
Preserved Food,Pickle,46,"SARIMAX(1,1,1)x(1,1,1,12)",55.55653011877369,42.14051658537611,199.4262923837511
Preserved Food,Sundried Tomatoes,48,"SARIMAX(1,1,1)x(1,1,1,12)",70.11385841565678,45.30166918255609,106.54905751485457
Processed Meat,Bacon,48,"SARIMAX(1,1,1)x(1,1,1,12)",71.93904562014147,45.76439807053678,37.43256796458867
Processed Meat,Caviar,48,"SARIMAX(1,1,1)x(1,1,1,12)",50.500756382887445,38.451624834065115,253.90189190874835
Processed Meat,Foie Gras,48,"SARIMAX(1,1,1)x(1,1,1,12)",102.29628986927405,77.26002608911298,61.797952605325044
Processed Meat,Fresh Water Eel,48,"SARIMAX(1,1,1)x(1,1,1,12)",103.58023698222523,64.49224826526286,232.23827686931307
Processed Meat,Jelly Fish,48,"SARIMAX(1,1,1)x(1,1,1,12)",131.18422184783978,89.59902823287771,279.4487067831317
Processed Meat,Oysters (Clam),48,"SARIMAX(1,1,1)x(1,1,1,12)",45.29653513378624,38.91233975752587,331.8165403296292
Processed Meat,Pacific Squid,45,"SARIMAX(1,1,1)x(1,1,1,12)",20.403411615732594,16.356479014962886,70.5939780048596
Processed Meat,Smoked Salmon,48,"SARIMAX(1,1,1)x(1,1,1,12)",139.1747031730564,105.9965946722682,88.87968314891572
Processed Meat,Tuna,47,"SARIMAX(1,1,1)x(1,1,1,12)",45.76097209760644,37.09012889169693,732.4018419370052
