Product Type,Product Sub-Category,Type,Period,Forecast_Qty,Model
Canned Foods,Assorted Fruits,test_forecast,2013-03-01,-11.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-04-01,-88.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-05-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-06-01,-26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-07-01,3.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-08-01,-26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-09-01,157.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-10-01,36.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-11-01,86.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,test_forecast,2013-12-01,35.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Canned Foods,Assorted Fruits,actual,2010-01-01,10.0,actual
Canned Foods,Assorted Fruits,actual,2010-02-01,36.0,actual
Canned Foods,Assorted Fruits,actual,2010-03-01,108.0,actual
Canned Foods,Assorted Fruits,actual,2010-04-01,113.0,actual
Canned Foods,Assorted Fruits,actual,2010-05-01,73.0,actual
Canned Foods,Assorted Fruits,actual,2010-06-01,29.0,actual
Canned Foods,Assorted Fruits,actual,2010-07-01,169.0,actual
Canned Foods,Assorted Fruits,actual,2010-08-01,66.0,actual
Canned Foods,Assorted Fruits,actual,2010-09-01,65.0,actual
Canned Foods,Assorted Fruits,actual,2010-10-01,23.0,actual
Canned Foods,Assorted Fruits,actual,2010-11-01,135.0,actual
Canned Foods,Assorted Fruits,actual,2010-12-01,94.0,actual
Canned Foods,Assorted Fruits,actual,2011-01-01,19.0,actual
Canned Foods,Assorted Fruits,actual,2011-02-01,84.0,actual
Canned Foods,Assorted Fruits,actual,2011-03-01,24.0,actual
Canned Foods,Assorted Fruits,actual,2011-04-01,6.0,actual
Canned Foods,Assorted Fruits,actual,2011-05-01,36.0,actual
Canned Foods,Assorted Fruits,actual,2011-06-01,12.0,actual
Canned Foods,Assorted Fruits,actual,2011-07-01,23.0,actual
Canned Foods,Assorted Fruits,actual,2011-08-01,29.0,actual
Canned Foods,Assorted Fruits,actual,2011-09-01,139.0,actual
Canned Foods,Assorted Fruits,actual,2011-10-01,49.0,actual
Canned Foods,Assorted Fruits,actual,2011-11-01,18.0,actual
Canned Foods,Assorted Fruits,actual,2011-12-01,60.0,actual
Canned Foods,Assorted Fruits,actual,2012-01-01,23.0,actual
Canned Foods,Assorted Fruits,actual,2012-02-01,20.0,actual
Canned Foods,Assorted Fruits,actual,2012-03-01,17.0,actual
Canned Foods,Assorted Fruits,actual,2012-04-01,15.0,actual
Canned Foods,Assorted Fruits,actual,2012-05-01,44.0,actual
Canned Foods,Assorted Fruits,actual,2012-06-01,31.0,actual
Canned Foods,Assorted Fruits,actual,2012-07-01,144.0,actual
Canned Foods,Assorted Fruits,actual,2012-08-01,25.0,actual
Canned Foods,Assorted Fruits,actual,2012-09-01,94.0,actual
Canned Foods,Assorted Fruits,actual,2012-10-01,58.0,actual
Canned Foods,Assorted Fruits,actual,2012-11-01,315.0,actual
